                   0 a=    x, b=    x, c=x, s=    x, cout=x
                 775 a= 1201, b=11183, c=0, s=11352, cout=0
                 777 a= 1201, b=11183, c=0, s=10320, cout=0
                 779 a= 1201, b=11183, c=0, s= 8256, cout=0
                 780 a= 2464, b=15270, c=1, s= 8256, cout=0
                 781 a= 2464, b=15270, c=1, s=12385, cout=0
                 782 a= 2464, b=15270, c=1, s=11641, cout=0
                 783 a= 2464, b=15270, c=1, s= 1355, cout=0
                 785 a= 2464, b=15270, c=1, s=17743, cout=0
                 787 a= 2464, b=15270, c=1, s=17735, cout=0
                 790 a= 3317, b=65441, c=0, s=17735, cout=0
                 791 a= 3317, b=65441, c=0, s=17734, cout=0
                 792 a= 3317, b=65441, c=0, s=33812, cout=0
